İlçe,Mahalle,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Brüt M2,Kat Sayısı,Bulunduğu Kat,Kat Index,Bina Yaşı,Eşya Durumu,Kullanım Durumu,Doğu,Batı,Kuzey,Güney,Kira
Tepebaşı,Ertuğrulgazi Mah.,2,1,1,130,2,2,1.0,15,0,0,1,1,0,0,12500
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,1,0.3333333333333333,5,0,0,0,0,0,0,9000
Tepebaşı,Sütlüce Mah.,1,1,1,50,3,3,1.0,4,0,0,0,0,0,0,10000
Tepebaşı,Batıkent Mah.,2,1,1,100,3,2,0.6666666666666666,11,0,0,0,0,0,0,15000
Tepebaşı,Şirintepe Mah.,1,1,1,60,4,3,0.75,11,1,0,0,0,0,0,13000
Odunpazarı,Emek Mah.,3,1,2,150,4,3,0.75,7,0,0,0,1,1,1,22000
Tepebaşı,Şarhöyük Mah.,2,1,1,100,3,1,0.3333333333333333,3,0,0,1,1,0,0,14000
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,160,9,7,0.7777777777777778,25,0,0,1,1,0,0,25000
Tepebaşı,Çamlıca Mah.,3,1,1,140,3,1,0.3333333333333333,20,0,0,0,0,0,0,20000
Tepebaşı,Yenibağlar Mah.,3,1,1,125,7,5,0.7142857142857143,15,0,0,1,0,0,1,22000
Tepebaşı,Kumlubel Mah.,3,1,2,140,5,4,0.8,6,0,0,1,1,0,0,18000
Tepebaşı,Mamure Mah.,3,1,1,138,3,2,0.6666666666666666,25,0,0,1,1,1,0,15000
Tepebaşı,Tunalı Mah.,3,1,1,130,4,3,0.75,13,0,0,0,0,0,0,16000
Odunpazarı,Erenköy Mah.,2,1,1,90,1,2,2.0,8,0,0,1,0,1,0,14000
Tepebaşı,Yenibağlar Mah.,3,1,1,130,4,3,0.75,8,0,0,1,0,1,1,18000
Odunpazarı,Arifiye Mah.,3,1,1,145,7,4,0.5714285714285714,25,0,0,1,1,0,0,18000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,3,1.0,5,1,0,0,0,0,1,14000
Tepebaşı,Cumhuriye Mah.,1,0,1,65,3,2,0.6666666666666666,14,0,0,1,1,0,0,15500
Tepebaşı,Uluönder Mah.,3,1,1,110,5,5,1.0,40,0,0,0,1,0,1,12000
Odunpazarı,Emek Mah.,3,1,1,120,3,1,0.3333333333333333,20,0,0,0,0,0,1,12000
Odunpazarı,Göztepe Mah.,3,1,1,125,3,3,1.0,2,0,0,1,1,0,1,24500
Tepebaşı,Şirintepe Mah.,2,1,1,115,3,3,1.0,5,0,0,1,1,0,0,16000
Odunpazarı,İstiklal Mah.,3,1,1,160,7,7,1.0,26,1,0,0,1,0,0,25000
Tepebaşı,Şirintepe Mah.,2,1,1,94,4,4,1.0,7,1,1,1,0,0,0,30000
Tepebaşı,Eskibağlar Mah.,2,1,1,75,4,0,0.0,27,0,0,0,0,0,0,12000
Tepebaşı,Ömerağa Mah.,3,1,1,130,3,1,0.3333333333333333,5,0,0,1,0,0,1,16500
Odunpazarı,Kurtuluş Mah.,3,1,1,150,4,4,1.0,24,0,0,0,0,1,1,16000
Tepebaşı,Eskibağlar Mah.,1,1,1,55,4,1,0.25,10,0,0,1,1,0,0,9500
Tepebaşı,Esentepe Mah.,1,1,1,65,3,2,0.6666666666666666,3,1,0,1,0,0,0,12000
Odunpazarı,Emek Mah.,3,1,1,130,4,1,0.25,6,0,0,1,0,0,0,20000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,2,0.6666666666666666,12,0,0,1,0,0,0,10500
Odunpazarı,Gökmeydan Mah.,3,1,2,158,5,4,0.8,26,0,0,0,0,0,1,20000
Tepebaşı,Uluönder Mah.,1,1,1,65,3,0,0.0,10,0,0,0,0,1,0,18500
Odunpazarı,Yenidoğan Mah.,3,1,1,145,9,9,1.0,16,0,0,1,0,1,0,16500
Odunpazarı,Akarbaşı Mah.,3,1,1,140,10,5,0.5,24,0,0,0,1,1,0,31000
Tepebaşı,Kumlubel Mah.,2,1,1,115,5,3,0.6,8,1,0,0,1,0,0,22500
Odunpazarı,71 Evler Mah.,3,1,1,135,5,1,0.2,15,0,0,1,1,0,1,12000
Tepebaşı,Batıkent Mah.,4,1,2,200,3,2,0.6666666666666666,7,0,0,0,1,1,1,34000
Tepebaşı,Sütlüce Mah.,2,1,1,90,4,1,0.25,9,0,0,0,0,1,0,14000
Odunpazarı,Akarbaşı Mah.,2,1,1,96,7,3,0.42857142857142855,28,0,0,1,0,1,0,21500
Odunpazarı,Çankaya Mah.,3,1,1,100,4,1,0.25,15,0,0,0,0,1,1,18000
Odunpazarı,Kurtuluş Mah.,2,1,1,105,7,7,1.0,8,0,0,1,1,0,0,15000
Odunpazarı,71 Evler Mah.,2,1,1,85,7,6,0.8571428571428571,2,0,0,1,0,1,0,14500
Odunpazarı,Gökmeydan Mah.,2,1,1,95,4,2,0.5,29,0,0,0,0,1,1,12500
Tepebaşı,Bahçelievler Mah.,1,1,1,52,5,2,0.4,5,0,0,1,0,0,1,11900
Odunpazarı,Yenikent Mah.,2,1,1,95,5,5,1.0,130,0,0,0,0,0,1,7000
Tepebaşı,Ertuğrulgazi Mah.,4,1,2,250,3,3,1.0,10,0,0,1,0,0,0,25000
Tepebaşı,Güllük Mah.,1,1,1,65,4,1,0.25,20,0,0,1,0,0,0,10000
Tepebaşı,Bahçelievler Mah.,2,1,1,95,4,3,0.75,10,0,0,1,0,1,0,18000
Odunpazarı,Büyükdere Mah.,2,0,1,60,4,2,0.5,10,0,1,0,0,0,1,10000
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,90,4,0,0.0,26,0,0,1,0,1,0,14200
Tepebaşı,Hoşnudiye Mah.,3,1,1,140,6,2,0.3333333333333333,30,0,0,0,0,1,1,23000
Tepebaşı,Çamlıca Mah.,1,1,1,55,3,3,1.0,7,0,0,0,1,0,0,10500
Tepebaşı,Yenibağlar Mah.,2,0,1,85,4,2,0.5,10,0,0,1,1,0,1,13000
Tepebaşı,Güllük Mah.,1,1,1,65,3,3,1.0,12,0,0,0,0,0,1,10000
Odunpazarı,Vişnelik Mah.,3,1,1,145,6,5,0.8333333333333334,29,0,0,1,0,1,0,25000
Odunpazarı,Emek Mah.,3,1,1,125,3,3,1.0,4,0,0,1,1,0,1,15000
Tepebaşı,Batıkent Mah.,3,1,1,145,4,3,0.75,15,0,0,0,0,0,0,16000
Tepebaşı,Esentepe Mah.,1,1,1,50,3,3,1.0,2,0,0,0,0,0,0,10000
Tepebaşı,Tunalı Mah.,2,1,1,95,4,0,0.0,25,0,0,1,0,0,0,11000
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,133,6,5,0.8333333333333334,28,0,0,1,1,1,1,17000
Tepebaşı,Batıkent Mah.,2,1,1,100,5,0,0.0,16,0,0,1,1,0,0,11500
Odunpazarı,Kurtuluş Mah.,3,1,1,125,7,2,0.2857142857142857,12,0,0,1,0,0,1,21500
Tepebaşı,Batıkent Mah.,4,1,2,170,4,3,0.75,4,0,0,0,1,0,1,42000
Tepebaşı,Şeker Mah.,4,1,3,200,4,4,1.0,17,0,0,0,1,1,0,34000
Odunpazarı,Yıldıztepe Mah.,1,1,1,55,3,1,0.3333333333333333,5,0,0,0,0,0,0,13000
Odunpazarı,Emek Mah.,3,1,2,145,4,1,0.25,10,0,0,0,0,1,1,15000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,3,0.75,12,1,0,0,0,0,1,13500
Tepebaşı,Yenibağlar Mah.,1,1,1,115,5,0,0.0,35,1,0,0,0,0,0,22000
Tepebaşı,Şirintepe Mah.,1,1,1,55,4,2,0.5,10,0,1,1,0,0,0,10000
Tepebaşı,Şarhöyük Mah.,2,1,1,100,3,1,0.3333333333333333,2,0,0,0,0,0,1,14000
Tepebaşı,Fatih Mah.,3,1,2,145,5,4,0.8,5,0,0,1,1,0,0,18000
Tepebaşı,Yenibağlar Mah.,1,0,1,50,7,3,0.42857142857142855,11,1,0,0,1,0,0,10000
Odunpazarı,Büyükdere Mah.,4,1,2,170,9,0,0.0,24,0,0,0,0,0,0,24000
Odunpazarı,Gökmeydan Mah.,2,1,1,110,9,2,0.2222222222222222,26,0,0,0,0,1,1,13750
Tepebaşı,Mustafa Kemal Paşa Mah.,1,1,1,60,4,4,1.0,13,1,0,0,1,1,0,15000
Odunpazarı,Vişnelik Mah.,3,1,1,127,7,4,0.5714285714285714,3,0,0,0,0,1,1,22000
Tepebaşı,İhsaniye Mah.,3,1,1,140,5,5,1.0,25,0,0,0,0,1,1,14000
Odunpazarı,Sümer Mah.,4,1,2,190,4,2,0.5,1,0,0,1,1,0,1,42000
Odunpazarı,Büyükdere Mah.,2,1,1,85,3,2,0.6666666666666666,12,1,0,0,0,0,1,13000
Odunpazarı,Kurtuluş Mah.,3,1,1,125,4,4,1.0,15,0,0,1,1,0,0,20000
Odunpazarı,Arifiye Mah.,3,1,1,125,6,4,0.6666666666666666,35,0,1,0,0,1,1,24000
Tepebaşı,Ertuğrulgazi Mah.,1,1,1,60,3,1,0.3333333333333333,10,1,0,0,0,1,0,12500
Odunpazarı,71 Evler Mah.,3,1,1,140,3,3,1.0,11,0,0,1,1,0,1,15000
Odunpazarı,Akarbaşı Mah.,1,1,1,50,3,3,1.0,10,1,0,1,0,0,0,10000
Tepebaşı,Uluönder Mah.,1,1,1,60,2,2,1.0,12,1,0,1,1,1,0,14000
Tepebaşı,Bahçelievler Mah.,2,1,1,90,4,2,0.5,20,1,0,1,1,0,0,16000
Tepebaşı,Çamlıca Mah.,2,1,1,110,3,2,0.6666666666666666,8,0,0,0,1,0,1,15000
Tepebaşı,Şirintepe Mah.,1,1,1,65,4,3,0.75,10,1,0,0,0,0,0,11500
Tepebaşı,Ömerağa Mah.,1,1,1,65,8,7,0.875,1,0,0,1,0,1,0,12500
Tepebaşı,Şirintepe Mah.,1,1,1,65,3,1,0.3333333333333333,5,0,0,0,0,0,1,14000
Odunpazarı,Osmangazi Mah.,2,1,1,105,4,3,0.75,30,0,0,0,1,0,1,15000
Odunpazarı,Emek Mah.,3,1,3,120,3,3,1.0,8,0,0,1,1,0,0,10000
Tepebaşı,Zafer Mah.,2,1,1,125,1,2,2.0,7,0,0,0,0,1,1,12500
Tepebaşı,Şarhöyük Mah.,2,1,1,95,3,1,0.3333333333333333,35,1,0,1,1,0,0,12000
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,150,5,4,0.8,5,0,0,1,1,0,0,25000
Odunpazarı,Yenidoğan Mah.,3,1,1,120,8,7,0.875,20,0,0,1,0,0,0,14000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,95,3,2,0.6666666666666666,32,0,0,0,0,1,1,12500
Odunpazarı,Alanönü Mah.,3,1,1,130,4,1,0.25,4,0,0,1,0,0,1,17000
Odunpazarı,Büyükdere Mah.,2,1,2,100,3,2,0.6666666666666666,16,0,0,0,0,0,1,15000
Tepebaşı,Şirintepe Mah.,1,1,1,45,3,1,0.3333333333333333,8,0,0,0,0,1,1,10000
Tepebaşı,Tunalı Mah.,3,1,2,140,3,1,0.3333333333333333,14,0,0,0,0,1,1,15000
Tepebaşı,Zafer Mah.,3,1,1,145,7,7,1.0,7,0,0,1,1,0,0,17000
Tepebaşı,Şirintepe Mah.,2,0,1,60,3,3,1.0,11,1,0,1,1,0,0,12000
Tepebaşı,Çamlıca Mah.,2,1,2,105,3,1,0.3333333333333333,3,0,0,1,1,0,0,16500
Tepebaşı,Batıkent Mah.,3,1,2,145,5,4,0.8,18,0,0,1,0,0,1,23000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,2,0.6666666666666666,13,0,0,0,0,0,1,8500
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,2,0.5,13,1,0,0,0,0,1,11000
Odunpazarı,Emek Mah.,2,1,1,100,2,2,1.0,25,0,0,0,0,0,0,9000
Odunpazarı,Vişnelik Mah.,2,1,2,95,4,2,0.5,10,0,0,1,1,0,0,26000
Tepebaşı,Şirintepe Mah.,2,1,1,100,4,3,0.75,8,0,0,1,1,0,0,15000
Tepebaşı,Sütlüce Mah.,2,1,1,85,1,1,1.0,35,0,0,1,1,0,0,9500
Tepebaşı,Çamlıca Mah.,3,1,1,140,3,3,1.0,5,0,0,0,0,0,0,15000
Tepebaşı,Kumlubel Mah.,2,0,1,65,3,1,0.3333333333333333,9,0,0,0,0,0,1,11000
Odunpazarı,Alanönü Mah.,2,1,1,130,1,5,5.0,12,0,0,1,1,0,0,17500
Odunpazarı,Vadişehir Mah.,3,1,2,110,4,3,0.75,5,0,0,0,0,0,1,25000
Tepebaşı,Bahçelievler Mah.,1,1,1,70,4,4,1.0,10,1,0,1,1,0,0,13000
Tepebaşı,Batıkent Mah.,3,1,2,160,3,3,1.0,6,0,1,1,1,0,1,32000
Tepebaşı,Şirintepe Mah.,2,1,1,95,3,3,1.0,6,0,0,0,0,1,1,11500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,100,3,3,1.0,30,0,0,0,0,1,1,8000
Tepebaşı,Kumlubel Mah.,2,1,1,95,4,1,0.25,5,0,0,1,0,0,0,11000
Odunpazarı,Kırmızıtoprak Mah.,1,1,1,60,4,1,0.25,4,1,0,0,0,0,1,16500
Tepebaşı,Eskibağlar Mah.,3,1,1,120,2,3,1.5,12,0,0,0,0,1,1,22000
Odunpazarı,71 Evler Mah.,2,1,1,100,3,1,0.3333333333333333,4,0,0,1,0,0,1,13000
Odunpazarı,İstiklal Mah.,2,1,1,95,3,2,0.6666666666666666,31,1,0,0,0,0,0,16000
Tepebaşı,Batıkent Mah.,3,1,1,135,7,5,0.7142857142857143,24,0,1,1,0,0,1,17500
Tepebaşı,Yeşiltepe Mah.,1,1,1,55,2,0,0.0,8,1,0,1,1,0,0,12000
Tepebaşı,Bahçelievler Mah.,3,1,1,130,4,2,0.5,20,0,0,1,1,0,0,18000
Tepebaşı,Sütlüce Mah.,1,1,1,65,3,3,1.0,5,1,0,1,1,0,0,9500
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,2,0.6666666666666666,17,0,0,0,0,0,1,10500
Tepebaşı,Şeker Mah.,2,1,1,90,3,3,1.0,17,0,0,0,0,1,1,10000
Tepebaşı,Şirintepe Mah.,1,1,1,57,3,1,0.3333333333333333,6,1,0,1,0,0,1,12000
Odunpazarı,Vişnelik Mah.,2,1,1,100,5,2,0.4,28,1,0,0,0,0,1,11000
Odunpazarı,71 Evler Mah.,2,1,1,95,3,1,0.3333333333333333,2,0,1,1,1,0,0,14000
Tepebaşı,Eskibağlar Mah.,1,1,1,55,4,0,0.0,12,0,0,1,0,0,0,12000
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,2,0.5,10,1,0,0,0,0,1,10000
Tepebaşı,Yenibağlar Mah.,1,0,1,15,5,5,1.0,8,1,0,0,0,0,1,6000
Tepebaşı,Batıkent Mah.,3,1,2,175,3,1,0.3333333333333333,5,0,0,0,0,0,0,36000
Tepebaşı,Sütlüce Mah.,2,1,1,110,3,2,0.6666666666666666,5,0,0,1,0,0,1,14000
Odunpazarı,Kurtuluş Mah.,3,1,1,110,8,5,0.625,20,0,0,0,0,1,0,15000
Tepebaşı,Çamlıca Mah.,2,1,1,90,3,2,0.6666666666666666,6,0,0,0,0,1,1,15500
Tepebaşı,Batıkent Mah.,3,1,2,160,3,3,1.0,5,0,0,0,1,0,1,37000
Odunpazarı,Emek Mah.,1,1,1,160,4,4,1.0,15,0,0,0,0,0,1,16000
Odunpazarı,Deliklitaş Mah.,3,1,1,180,5,2,0.4,31,0,0,0,0,0,1,25000
Tepebaşı,Batıkent Mah.,3,1,2,168,5,2,0.4,12,0,0,1,1,1,0,25000
Tepebaşı,Sütlüce Mah.,1,1,1,55,3,1,0.3333333333333333,12,1,0,1,0,0,0,11000
Odunpazarı,Ihlamurkent Mah.,3,1,2,160,4,3,0.75,7,0,0,0,0,1,1,28000
Odunpazarı,Çankaya Mah.,3,1,1,115,5,4,0.8,15,0,0,0,0,1,1,17000
Tepebaşı,Uluönder Mah.,2,1,1,90,5,1,0.2,18,1,0,0,1,1,1,16000
Tepebaşı,Eskibağlar Mah.,3,1,1,135,3,3,1.0,25,0,0,1,1,0,0,13000
Tepebaşı,Ertuğrulgazi Mah.,1,1,1,60,3,1,0.3333333333333333,5,1,0,1,1,0,0,10000
Tepebaşı,Hoşnudiye Mah.,3,1,1,165,7,3,0.42857142857142855,29,0,0,0,0,1,1,25000
Odunpazarı,Emek Mah.,3,1,1,135,4,4,1.0,11,0,0,1,1,0,0,15000
Tepebaşı,Kumlubel Mah.,2,1,1,100,4,1,0.25,8,0,1,1,0,0,1,14500
Odunpazarı,Kurtuluş Mah.,3,1,1,120,3,0,0.0,40,0,0,1,1,0,0,15000
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,1,0.3333333333333333,3,1,0,0,0,1,0,8500
Tepebaşı,Zafer Mah.,2,1,1,110,4,4,1.0,5,0,0,1,0,0,0,15000
Tepebaşı,Güllük Mah.,2,0,1,50,4,1,0.25,13,1,0,1,0,0,0,15000
Odunpazarı,Emek Mah.,3,1,1,135,3,2,0.6666666666666666,4,0,0,1,1,0,0,16000
Odunpazarı,Vişnelik Mah.,2,1,1,105,7,5,0.7142857142857143,28,0,0,0,0,1,1,16000
Tepebaşı,Yenibağlar Mah.,2,1,1,65,4,3,0.75,11,1,0,0,0,0,1,13500
Tepebaşı,Yeşiltepe Mah.,2,1,1,110,3,3,1.0,7,0,0,0,0,1,1,18000
Tepebaşı,Tunalı Mah.,2,1,1,105,3,1,0.3333333333333333,7,0,0,0,0,0,1,14000
Tepebaşı,Bahçelievler Mah.,1,1,1,82,4,3,0.75,7,0,0,1,0,0,1,12900
Tepebaşı,Hoşnudiye Mah.,1,1,1,55,2,1,0.5,15,1,0,1,0,0,0,18000
Odunpazarı,Gültepe Mah.,2,1,1,100,3,0,0.0,10,0,0,0,1,0,1,12000
Tepebaşı,Şirintepe Mah.,1,1,1,45,3,2,0.6666666666666666,15,1,0,1,0,0,0,9000
Odunpazarı,Akarbaşı Mah.,1,1,1,50,3,2,0.6666666666666666,10,1,0,1,0,0,0,10000
Tepebaşı,Hacı Seyit Mah.,2,1,1,110,6,0,0.0,20,0,0,0,0,1,1,13000
Tepebaşı,Şirintepe Mah.,3,1,1,120,4,0,0.0,24,0,0,1,0,0,1,17000
Tepebaşı,Şirintepe Mah.,2,1,2,100,3,3,1.0,1,0,1,1,1,0,0,13500
Tepebaşı,Yeşiltepe Mah.,2,0,2,130,2,2,1.0,9,1,0,0,1,0,0,12500
Odunpazarı,Gökmeydan Mah.,3,1,1,122,7,2,0.2857142857142857,25,0,0,1,0,1,0,19000
Tepebaşı,Bahçelievler Mah.,1,1,1,50,4,4,1.0,15,1,0,1,1,0,0,14000
Odunpazarı,Emek Mah.,2,1,1,115,3,1,0.3333333333333333,4,0,0,1,1,0,0,10000
Tepebaşı,Ertuğrulgazi Mah.,3,1,2,130,4,1,0.25,3,0,0,0,0,1,1,22500
Tepebaşı,Yenibağlar Mah.,1,1,1,60,4,4,1.0,15,1,0,0,0,1,0,15500
Odunpazarı,Vişnelik Mah.,2,1,1,110,4,4,1.0,22,0,0,0,0,0,1,12500
Odunpazarı,71 Evler Mah.,2,0,1,65,3,1,0.3333333333333333,2,0,0,1,0,0,1,9500
Odunpazarı,Kurtuluş Mah.,3,1,1,122,4,2,0.5,35,0,0,0,1,1,1,15000
Odunpazarı,Sümer Mah.,3,1,2,160,3,3,1.0,10,0,0,1,1,0,1,25000
Odunpazarı,Emek Mah.,3,1,1,120,3,3,1.0,12,0,0,0,0,0,0,15000
Tepebaşı,Eskibağlar Mah.,2,1,1,95,4,4,1.0,10,1,0,0,0,0,0,16000
Tepebaşı,Yenibağlar Mah.,1,1,1,60,3,3,1.0,14,0,0,0,0,1,0,13500
Odunpazarı,Büyükdere Mah.,1,1,1,60,3,1,0.3333333333333333,10,0,0,0,1,0,0,10000
Tepebaşı,Eskibağlar Mah.,3,1,1,110,3,3,1.0,15,0,0,0,0,0,0,17000
Odunpazarı,Osmangazi Mah.,2,1,1,106,5,4,0.8,26,1,1,1,1,0,1,17500
Tepebaşı,Güllük Mah.,1,1,1,65,3,3,1.0,12,0,0,0,0,0,1,10000
Tepebaşı,Mustafa Kemal Paşa Mah.,3,1,1,145,7,2,0.2857142857142857,9,0,0,1,1,0,0,18000
Tepebaşı,Batıkent Mah.,3,1,1,125,7,7,1.0,20,0,0,0,1,1,1,17000
Tepebaşı,Bahçelievler Mah.,1,1,1,60,4,1,0.25,5,1,1,0,0,0,1,19500
Odunpazarı,Emek Mah.,2,1,1,120,3,0,0.0,10,0,0,0,0,0,0,14000
Tepebaşı,Eskibağlar Mah.,2,0,1,68,3,1,0.3333333333333333,10,0,0,0,0,0,1,10000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,4,1.0,15,1,0,0,0,1,0,11000
Tepebaşı,Bahçelievler Mah.,1,1,1,60,4,1,0.25,5,1,0,0,1,0,0,12000
Odunpazarı,Kırmızıtoprak Mah.,1,1,1,65,7,5,0.7142857142857143,10,0,1,0,0,0,0,18000
Odunpazarı,Gültepe Mah.,4,1,2,180,3,3,1.0,8,1,0,1,1,0,0,20000
Tepebaşı,Sütlüce Mah.,2,0,1,70,3,1,0.3333333333333333,4,0,0,1,1,0,0,11000
Odunpazarı,Emek Mah.,3,1,1,135,3,0,0.0,7,0,0,0,0,1,1,15000
Tepebaşı,Zafer Mah.,2,0,1,75,7,5,0.7142857142857143,8,0,0,0,0,0,1,10000
Tepebaşı,Yeşiltepe Mah.,2,1,1,80,2,1,0.5,2,0,0,1,1,0,0,14000
Odunpazarı,Gökmeydan Mah.,3,1,1,130,5,2,0.4,17,0,0,1,1,0,0,17000
Tepebaşı,Hayriye Mah.,2,1,1,110,7,7,1.0,25,0,1,0,0,1,1,18000
Odunpazarı,Gökmeydan Mah.,2,1,1,115,7,7,1.0,30,0,0,0,1,1,1,12000
Odunpazarı,Emek Mah.,2,1,1,100,4,4,1.0,8,0,0,0,1,1,1,12000
Odunpazarı,Kırmızıtoprak Mah.,1,0,1,50,7,5,0.7142857142857143,13,1,0,1,1,0,0,13000
Tepebaşı,Bahçelievler Mah.,2,0,1,50,4,4,1.0,16,0,0,0,1,0,0,7000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,1,0.3333333333333333,14,0,0,0,0,0,0,8000
Tepebaşı,Uluönder Mah.,1,1,1,40,4,4,1.0,10,1,0,0,1,0,0,8000
Tepebaşı,Uluönder Mah.,2,1,1,85,4,4,1.0,40,0,0,1,0,0,0,10000
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,2,0.6666666666666666,7,1,0,1,1,0,0,11000
Tepebaşı,Bahçelievler Mah.,1,0,1,50,4,3,0.75,13,1,0,0,1,0,0,9000
Odunpazarı,Vişnelik Mah.,3,1,1,125,6,2,0.3333333333333333,35,0,1,0,0,0,1,20000
Odunpazarı,Akarbaşı Mah.,3,1,1,120,3,3,1.0,30,0,0,1,0,1,1,15000
Tepebaşı,Esentepe Mah.,2,1,1,90,2,0,0.0,40,0,0,0,0,1,1,10000
Tepebaşı,Kumlubel Mah.,2,1,1,100,4,1,0.25,8,0,0,1,1,0,0,15000
Tepebaşı,Tunalı Mah.,3,0,1,120,4,4,1.0,19,0,0,0,0,1,1,13500
Tepebaşı,Sütlüce Mah.,1,1,1,55,3,2,0.6666666666666666,5,0,0,0,1,1,0,7750
Tepebaşı,Batıkent Mah.,4,1,1,170,2,1,0.5,8,1,0,0,0,0,0,35000
Tepebaşı,Sütlüce Mah.,2,0,1,75,4,3,0.75,8,0,0,1,1,0,0,10000
Odunpazarı,Kurtuluş Mah.,3,1,1,140,7,2,0.2857142857142857,25,0,0,0,0,1,1,16000
Odunpazarı,Kurtuluş Mah.,4,1,1,155,7,2,0.2857142857142857,32,0,0,0,0,0,0,22000
Tepebaşı,Zincirlikuyu Mah.,3,1,1,145,2,0,0.0,20,0,0,1,1,1,1,13000
Odunpazarı,Sultandere 75. Yıl Mah.,3,1,1,120,3,1,0.3333333333333333,17,0,0,0,0,0,0,12000
Odunpazarı,Arifiye Mah.,3,1,1,145,7,1,0.14285714285714285,26,0,0,1,0,0,0,16000
Tepebaşı,Yenibağlar Mah.,1,1,1,70,4,4,1.0,11,0,0,0,1,0,0,11000
Odunpazarı,Gültepe Mah.,5,1,2,240,3,3,1.0,7,0,1,1,1,0,0,22000
Odunpazarı,Emek Mah.,3,1,1,120,3,1,0.3333333333333333,8,0,0,1,0,0,0,12500
Tepebaşı,Batıkent Mah.,3,1,2,160,4,4,1.0,11,0,0,1,0,0,1,30000
Odunpazarı,Büyükdere Mah.,2,0,1,65,4,1,0.25,4,1,1,0,1,0,0,14000
Odunpazarı,Göztepe Mah.,2,1,1,90,3,1,0.3333333333333333,1,0,0,0,0,0,0,13500
Odunpazarı,Emek Mah.,3,1,1,120,4,4,1.0,11,0,0,1,1,0,0,15000
Tepebaşı,Güllük Mah.,2,1,1,90,4,3,0.75,5,0,0,1,1,0,0,15000
Odunpazarı,71 Evler Mah.,3,1,1,160,3,4,1.3333333333333333,1,0,0,1,1,1,1,18500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,110,4,2,0.5,5,1,0,1,0,0,1,25000
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,1,0.25,14,0,0,0,0,0,1,9000
Tepebaşı,Eskibağlar Mah.,1,1,1,65,4,1,0.25,8,1,1,0,0,0,0,12500
Odunpazarı,Büyükdere Mah.,1,1,1,65,3,2,0.6666666666666666,12,0,0,0,0,0,1,10000
